"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Sentences";"Words";"Audience_age";"Audience_level";"Audience_size";"Full context";"Example source"
" нО";"еж́от";"Он";"то́же";" ";"с земле́ю нако́ротке Так бы́ло всегда́";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"Он то́же с земле́ю нако́ротке Так бы́ло всегда́, как изве́стно.";"b9f3660e7ab687235656c5f383c7ebce:3:1"
" еж́от нО";"с";"Он то́же";"с";" ";"земле́ю нако́ротке Так бы́ло всегда́, как";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"Он то́же с земле́ю нако́ротке Так бы́ло всегда́, как изве́стно.";"b9f3660e7ab687235656c5f383c7ebce:3:2"
" с еж́от нО";"ю́елмез";"Он то́же с";"земле́ю";" ";"нако́ротке Так бы́ло всегда́, как изве́стно.";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"Он то́же с земле́ю нако́ротке Так бы́ло всегда́, как изве́стно.";"b9f3660e7ab687235656c5f383c7ebce:3:3"
" ю́елмез с еж́от нО";"ектор́окан";"Он то́же с земле́ю";"нако́ротке";" ";"Так бы́ло всегда́, как изве́стно.";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"Он то́же с земле́ю нако́ротке Так бы́ло всегда́, как изве́стно.";"b9f3660e7ab687235656c5f383c7ebce:3:4"
" ектор́окан ю́елмез с еж́от нО";"каТ";"Он то́же с земле́ю нако́ротке";"Так";" ";"бы́ло всегда́, как изве́стно.";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"Он то́же с земле́ю нако́ротке Так бы́ло всегда́, как изве́стно.";"b9f3660e7ab687235656c5f383c7ebce:3:5"
" каТ ектор́окан ю́елмез с еж́от нО";"ол́ыб";"Он то́же с земле́ю нако́ротке Так";"бы́ло";" ";"всегда́, как изве́стно.";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"Он то́же с земле́ю нако́ротке Так бы́ло всегда́, как изве́стно.";"b9f3660e7ab687235656c5f383c7ebce:3:6"
" ол́ыб каТ ектор́окан ю́елмез с еж́от";"́адгесв";"то́же с земле́ю нако́ротке Так бы́ло";"всегда́";", ";"как изве́стно.";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"Он то́же с земле́ю нако́ротке Так бы́ло всегда́, как изве́стно.";"b9f3660e7ab687235656c5f383c7ebce:3:7"
" ,́адгесв ол́ыб каТ ектор́окан ю́елмез с";"как";"с земле́ю нако́ротке Так бы́ло всегда́,";"как";" ";"изве́стно.";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"Он то́же с земле́ю нако́ротке Так бы́ло всегда́, как изве́стно.";"b9f3660e7ab687235656c5f383c7ebce:3:8"
" как ,́адгесв ол́ыб каТ ектор́окан ю́елмез";"онтс́евзи";"земле́ю нако́ротке Так бы́ло всегда́, как";"изве́стно";".  ";"";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"Он то́же с земле́ю нако́ротке Так бы́ло всегда́, как изве́стно.";"b9f3660e7ab687235656c5f383c7ebce:3:9"
"";"А";"";"А";" ";"где́-то в степи́ арома́т ковыля́ Поднима́ется";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"А где́-то в степи́ арома́т ковыля́ Поднима́ется пря́мо до не́ба Пропи́тана за́пахом э́тим земля́, Арома́том созре́вшего хле́ба.";"b9f3660e7ab687235656c5f383c7ebce:4:0"
