"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Sentences";"Words";"Audience_age";"Audience_level";"Audience_size";"Full context";"Example source"
"";"ав̀ип";"";"пѝва";" ";"ѝли во̀дочки, ко̀ньячку̀ с шампа̀нским… Дя̀дечкѝ";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"пѝва ѝли во̀дочки, ко̀ньячку̀ с шампа̀нским… Дя̀дечкѝ и тё̀течки, гдѐ же ва̀ши ма̀ски, м?";"40a9b96dbde3af62a37e7563a76e653c:5:0"
" ав̀ип";"ил̀и";"пѝва";"ѝли";" ";"во̀дочки, ко̀ньячку̀ с шампа̀нским… Дя̀дечкѝ и";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"пѝва ѝли во̀дочки, ко̀ньячку̀ с шампа̀нским… Дя̀дечкѝ и тё̀течки, гдѐ же ва̀ши ма̀ски, м?";"40a9b96dbde3af62a37e7563a76e653c:5:1"
" ил̀и ав̀ип";"икчод̀ов";"пѝва ѝли";"во̀дочки";", ";"ко̀ньячку̀ с шампа̀нским… Дя̀дечкѝ и тё̀течки";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"пѝва ѝли во̀дочки, ко̀ньячку̀ с шампа̀нским… Дя̀дечкѝ и тё̀течки, гдѐ же ва̀ши ма̀ски, м?";"40a9b96dbde3af62a37e7563a76e653c:5:2"
" ,икчод̀ов ил̀и ав̀ип";"̀укчяьн̀ок";"пѝва ѝли во̀дочки,";"ко̀ньячку̀";" ";"с шампа̀нским… Дя̀дечкѝ и тё̀течки, гдѐ";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"пѝва ѝли во̀дочки, ко̀ньячку̀ с шампа̀нским… Дя̀дечкѝ и тё̀течки, гдѐ же ва̀ши ма̀ски, м?";"40a9b96dbde3af62a37e7563a76e653c:5:3"
" ̀укчяьн̀ок ,икчод̀ов ил̀и ав̀ип";"с";"пѝва ѝли во̀дочки, ко̀ньячку̀";"с";" ";"шампа̀нским… Дя̀дечкѝ и тё̀течки, гдѐ же";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"пѝва ѝли во̀дочки, ко̀ньячку̀ с шампа̀нским… Дя̀дечкѝ и тё̀течки, гдѐ же ва̀ши ма̀ски, м?";"40a9b96dbde3af62a37e7563a76e653c:5:4"
" с ̀укчяьн̀ок ,икчод̀ов ил̀и ав̀ип";"миксн̀апмаш";"пѝва ѝли во̀дочки, ко̀ньячку̀ с";"шампа̀нским";"… ";"Дя̀дечкѝ и тё̀течки, гдѐ же ва̀ши";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"пѝва ѝли во̀дочки, ко̀ньячку̀ с шампа̀нским… Дя̀дечкѝ и тё̀течки, гдѐ же ва̀ши ма̀ски, м?";"40a9b96dbde3af62a37e7563a76e653c:5:5"
" …миксн̀апмаш с ̀укчяьн̀ок ,икчод̀ов ил̀и ав̀ип";"̀икчед̀яД";"пѝва ѝли во̀дочки, ко̀ньячку̀ с шампа̀нским…";"Дя̀дечкѝ";" ";"и тё̀течки, гдѐ же ва̀ши ма̀ски";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"пѝва ѝли во̀дочки, ко̀ньячку̀ с шампа̀нским… Дя̀дечкѝ и тё̀течки, гдѐ же ва̀ши ма̀ски, м?";"40a9b96dbde3af62a37e7563a76e653c:5:6"
" ̀икчед̀яД …миксн̀апмаш с ̀укчяьн̀ок ,икчод̀ов ил̀и";"и";"ѝли во̀дочки, ко̀ньячку̀ с шампа̀нским… Дя̀дечкѝ";"и";" ";"тё̀течки, гдѐ же ва̀ши ма̀ски, м?";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"пѝва ѝли во̀дочки, ко̀ньячку̀ с шампа̀нским… Дя̀дечкѝ и тё̀течки, гдѐ же ва̀ши ма̀ски, м?";"40a9b96dbde3af62a37e7563a76e653c:5:7"
" и ̀икчед̀яД …миксн̀апмаш с ̀укчяьн̀ок ,икчод̀ов";"икчет̀ёт";"во̀дочки, ко̀ньячку̀ с шампа̀нским… Дя̀дечкѝ и";"тё̀течки";", ";"гдѐ же ва̀ши ма̀ски, м?";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"пѝва ѝли во̀дочки, ко̀ньячку̀ с шампа̀нским… Дя̀дечкѝ и тё̀течки, гдѐ же ва̀ши ма̀ски, м?";"40a9b96dbde3af62a37e7563a76e653c:5:8"
" ,икчет̀ёт и ̀икчед̀яД …миксн̀апмаш с ̀укчяьн̀ок";"̀едг";"ко̀ньячку̀ с шампа̀нским… Дя̀дечкѝ и тё̀течки,";"гдѐ";" ";"же ва̀ши ма̀ски, м?";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"пѝва ѝли во̀дочки, ко̀ньячку̀ с шампа̀нским… Дя̀дечкѝ и тё̀течки, гдѐ же ва̀ши ма̀ски, м?";"40a9b96dbde3af62a37e7563a76e653c:5:9"
